stage,shut_in_time,tp_current_seconds,tp_legacy_volume_over_rate_seconds,tp_rule_breakdown_peak_seconds,tp_multiplier_breakdown_peak,initiation_index_breakdown_peak,initiation_time_breakdown_peak,initiation_pressure_breakdown_peak_mpa,initiation_rule_breakdown_peak_status,tp_rule_extension_stable_seconds,tp_multiplier_extension_stable,initiation_index_extension_stable,initiation_time_extension_stable,initiation_pressure_extension_stable_mpa,extension_stable_window_slope,extension_stable_window_r2,initiation_rule_extension_stable_status,tp_rule_rate_step_seconds,tp_multiplier_rate_step,initiation_index_rate_step,initiation_time_rate_step,rate_at_rate_step,initiation_rule_rate_step_status,required_tp_multiplier_eta_0p10,target_0p10_reached_by_breakdown_peak,target_0p10_reached_by_extension_stable,target_0p10_reached_by_rate_step,required_tp_multiplier_eta_0p15,target_0p15_reached_by_breakdown_peak,target_0p15_reached_by_extension_stable,target_0p15_reached_by_rate_step,required_tp_multiplier_eta_0p20,target_0p20_reached_by_breakdown_peak,target_0p20_reached_by_extension_stable,target_0p20_reached_by_rate_step,recommended_tp_review_priority
1,09:42:53,10417.0,9567.863590772316,9156.0,0.8789478736680426,4508,07:10:17,157.0617,ok,,,,,,,,not_found,9702.0,0.9313621964097148,3962,07:01:11,14.43,ok,0.9974239975497194,reaches_target_with_plausible_rule,rule_missing,reaches_target_with_plausible_rule,0.5932616098197244,does_not_reach_target,rule_missing,does_not_reach_target,0.3966137636871079,does_not_reach_target,rule_missing,does_not_reach_target,medium
2,08:54:16,10367.0,9550.466906105696,445.0,0.04292466480177486,11537,08:46:51,157.0683,ok,,,,,,,,not_found,9657.0,0.931513456158966,2325,06:13:19,14.42,ok,0.8101396103823967,reaches_target_but_rule_extreme,rule_missing,does_not_reach_target,0.4818660174759099,reaches_target_but_rule_extreme,rule_missing,does_not_reach_target,0.3221423594931631,reaches_target_but_rule_extreme,rule_missing,does_not_reach_target,high
3,11:09:20,10077.0,10154.670658682635,3139.0,0.31150143892031357,8782,10:17:01,157.6157,ok,1135.0,0.1126327279944428,10786.0,10:50:25,147.3057,-0.000345864661657211,0.004657428113637785,ok,9738.0,0.9663590354272105,2183,08:27:02,14.42,ok,1.0,reaches_target_but_rule_extreme,reaches_target_but_rule_extreme,reaches_target_with_plausible_rule,0.6352541839120974,reaches_target_but_rule_extreme,reaches_target_but_rule_extreme,does_not_reach_target,0.4246871002759135,reaches_target_but_rule_extreme,reaches_target_but_rule_extreme,does_not_reach_target,high
5,08:42:25,10247.0,10057.466334164586,5218.0,0.5092222113789402,6559,07:15:27,156.7796,ok,,,,,,,,not_found,9614.0,0.938225822191861,2163,06:02:11,14.4,ok,0.9894671717965202,reaches_target_but_rule_extreme,rule_missing,reaches_target_with_plausible_rule,0.5885289391931962,reaches_target_but_rule_extreme,rule_missing,does_not_reach_target,0.3934498267688752,does_not_reach_target,rule_missing,does_not_reach_target,high
6,08:39:37,10065.0,10029.610778443113,8906.0,0.8848484848484849,2645,06:11:11,156.40460000000002,ok,,,,,,,,not_found,9468.0,0.9406855439642325,2083,06:01:49,14.57,ok,1.0,reaches_target_with_plausible_rule,rule_missing,reaches_target_with_plausible_rule,0.6027527149546006,does_not_reach_target,rule_missing,does_not_reach_target,0.40295886147666,does_not_reach_target,rule_missing,does_not_reach_target,medium
7,08:56:41,9935.0,9903.70887337986,8781.0,0.8838449924509311,2554,06:30:20,158.4401,ok,,,,,,,,not_found,9430.0,0.949169602415702,1905,06:19:31,14.43,ok,1.0,reaches_target_with_plausible_rule,rule_missing,reaches_target_with_plausible_rule,0.6609216483477937,does_not_reach_target,rule_missing,does_not_reach_target,0.4418465953547202,does_not_reach_target,rule_missing,does_not_reach_target,medium
8,09:42:23,14017.0,10026.047904191617,10661.0,0.7605764428907755,4696,06:44:42,157.64770000000001,ok,,,,,,,,not_found,13505.0,0.9634729257330384,1852,05:57:18,14.45,ok,0.7505202864205155,does_not_reach_target,rule_missing,does_not_reach_target,0.4464048132168594,does_not_reach_target,rule_missing,does_not_reach_target,0.2984354459608125,does_not_reach_target,rule_missing,does_not_reach_target,medium
9,08:45:52,10701.0,10196.764852720917,7455.0,0.696663863190356,4600,06:41:37,157.8399,ok,5521.0,0.5159330903653864,6534.0,07:13:51,130.3899,0.00112781954886879,0.046940325286142004,ok,10212.0,0.9543033361368096,1843,05:55:40,14.47,ok,0.8779031456550657,reaches_target_with_plausible_rule,reaches_target_but_rule_extreme,does_not_reach_target,0.5221713481293718,does_not_reach_target,reaches_target_but_rule_extreme,does_not_reach_target,0.3490877215771525,does_not_reach_target,does_not_reach_target,does_not_reach_target,high
10,12:54:31,10406.0,10003.892215568863,2301.0,0.22112242936767249,9480,12:16:10,157.1725,ok,2300.0,0.22102633096290603,9481.0,12:16:11,157.1525,-0.00370676691729506,0.4994359361098468,ok,10374.0,0.9969248510474726,1407,10:01:37,14.44,ok,0.9369055249429272,reaches_target_but_rule_extreme,reaches_target_but_rule_extreme,does_not_reach_target,0.557265597521307,reaches_target_but_rule_extreme,reaches_target_but_rule_extreme,does_not_reach_target,0.3725493144136398,reaches_target_but_rule_extreme,reaches_target_but_rule_extreme,does_not_reach_target,high
11,09:28:35,9946.0,9706.616766467067,4259.0,0.42821234667202895,7199,08:17:36,157.74880000000002,ok,4248.0,0.42710637442187815,7210.0,08:17:47,154.4888,0.0028496240601469307,0.1381260415394293,ok,9883.0,0.9936657952945908,1575,06:43:52,14.43,ok,0.7330015072092889,reaches_target_but_rule_extreme,reaches_target_but_rule_extreme,does_not_reach_target,0.4359847519565923,reaches_target_but_rule_extreme,reaches_target_but_rule_extreme,does_not_reach_target,0.2914693122250723,does_not_reach_target,does_not_reach_target,does_not_reach_target,high
