stage,closure_was_computed,selected_closure_method,selected_closure_status,selected_closure_elapsed_seconds,selected_closure_g_time,selected_closure_pressure_mpa,pressure_at_shut_in_mpa,tp_corrected_seconds,tp_legacy_volume_over_rate_seconds,pkn_model_name,pkn_model_version,pkn_volume_status,pkn_fracture_volume_m3,pkn_leakoff_volume_m3,pkn_nonstorage_volume_m3,pkn_shutin_storage_volume_m3,pkn_shutin_leakoff_before_closure_m3,pkn_shutin_fluid_efficiency,pkn_stable_storage_fraction,pkn_C_stage,pkn_H_w_m,pkn_I_F,stable_dP_dG_slope_mpa,stable_dP_dG_r2,microseismic_affected_volume,electromagnetic_affected_area,missing_estimate_reason
1,True,barree,ok,376.0,0.0757013665558364,107.4317,109.8217,10417.0,9567.863590772316,physical_pkn_storage,phase5d,ok,203.9453715794142,2845.964628420586,2845.964628420585,240.0740792648101,2809.83592073519,0.0787151356154149,0.0668693081367693,0.0005439912748582,50.0,0.722464726919,-27.020601638095123,0.9886341967249868,147.5,18435.0,
2,True,barree,ok,424.0,0.0851707765957378,105.1083,108.2283,10367.0,9550.466906105696,physical_pkn_storage,phase5d,ok,152.65823492456266,2860.2917650754366,2860.291765075437,199.18549250240025,2813.7645074975994,0.0661097902395991,0.0506673641861174,0.0006614528344951,50.0,0.722464726919,-32.776092737140296,0.9671805356437504,163.5,16290.0,
3,True,barree,ok,521.0,0.1061131211239413,106.3457,110.2257,10077.0,10154.670658682637,physical_pkn_storage,phase5d,ok,186.4577637537946,3059.8422362462056,3059.842236246205,245.11654582850173,3001.1834541714984,0.0755064368137577,0.0574370094426869,0.0007049860932077,50.0,0.722464726919,-34.44117249803211,0.9121868329706336,205.5,18824.0,
4,False,none,not_computed,,,,,,,physical_pkn_storage,phase5d,not_computed,,,,,,,,,,,,,202.0,16786.0,no_valid_falloff_manifest_row
5,True,mcclure,ok,70.0,0.01524852417636,112.8496,117.7796,10247.0,10057.466334164586,physical_pkn_storage,phase5d,ok,13.056093997994063,3261.473906002005,3261.4739060020056,16.794068505199675,3257.7359314948,0.0051286958754995,0.0039871657911193,0.0188824090273292,50.0,0.722464726919,-930.2239518263252,0.8144224492864846,171.5,18199.0,
6,True,barree,ok,703.0,0.1403339951965227,107.5246,112.4546,10065.0,10029.610778443111,physical_pkn_storage,phase5d,ok,212.248899092628,3052.181100907372,3052.181100907372,285.1077675449357,2979.322232455064,0.0873376876039418,0.0650186706691912,0.0007242729166271,50.0,0.722464726919,-35.36233090608778,0.8867283174635459,161.5,18573.0,
7,True,barree,ok,941.0,0.1856121958370126,109.7001,118.5301,9935.0,9903.70887337986,physical_pkn_storage,phase5d,ok,361.4452143725413,2871.054785627459,2871.054785627459,566.6860540220883,2665.813945977912,0.1753089107570265,0.1118159982591001,0.0004705110140222,50.0,0.722464726919,-22.82366995243177,0.9052060550338256,179.0,18323.0,
8,True,barree,ok,699.0,0.1025901667538175,110.1377,119.1577,14017.0,10026.047904191617,physical_pkn_storage,phase5d,ok,198.84395153733877,3077.8460484626617,3077.8460484626607,313.08479519480613,2963.6052048051934,0.0955491044910584,0.0606843953920995,0.0007048031707331,50.0,0.722464726919,-40.6094525135682,0.8898714663950992,179.5,18815.0,
9,True,barree,ok,355.0,0.0698936489583334,110.4999,113.7699,10701.0,10196.764852720917,physical_pkn_storage,phase5d,ok,181.4311540364043,3145.958845963596,3145.958845963596,212.99142802855985,3114.39857197144,0.0640115610218699,0.0545265670800249,0.0009211400356988,50.0,0.722464726919,-46.37346946741362,0.9496888091919796,167.5,18868.0,
10,True,barree,ok,760.0,0.1462381503299012,109.8725,114.1825,10406.0,10003.892215568863,physical_pkn_storage,phase5d,ok,187.14028238524187,3082.809717614758,3082.8097176147585,223.66736695648493,3046.2826330435155,0.0684008522933026,0.0572303192358421,0.0008867818225766,50.0,0.722464726919,-44.024095477400856,0.9288133655250128,192.0,19092.0,
