stage,target_eta,target_Gc,tp_corrected_seconds,valid_falloff_end_elapsed,valid_falloff_end_elapsed_source,current_max_available_Gc,required_tp_multiplier,required_tp_seconds,tp_reduction_fraction,reachability_status,reachability_class,tp_reachability_interpretation
1,0.1,0.22222222222222224,10417.0,1199.9999999999989,inferred_from_current_max_available_Gc,0.2217050830220314,0.9974239975497194,10390.165782475427,0.0025760024502805567,ok,plausible_tp_correction_0p6_to_1p0,possibly_explainable_by_fracture_initiation_timing_review_stage1_old_ppt_reference_0p67
1,0.15,0.35294117647058826,10417.0,1199.9999999999989,inferred_from_current_max_available_Gc,0.2217050830220314,0.5932616098197244,6180.006189492069,0.4067383901802756,ok,aggressive_tp_correction_0p3_to_0p6,requires_aggressive_tp_shortening_manual_initiation_review
1,0.2,0.5,10417.0,1199.9999999999989,inferred_from_current_max_available_Gc,0.2217050830220314,0.39661376368710793,4131.525576328603,0.6033862363128921,ok,aggressive_tp_correction_0p3_to_0p6,requires_aggressive_tp_shortening_manual_initiation_review
1,0.3,0.8571428571428572,10417.0,1199.9999999999989,inferred_from_current_max_available_Gc,0.2217050830220314,0.2072834504341624,2159.2717031726697,0.7927165495658376,ok,extreme_tp_correction_lt_0p3,unlikely_explained_by_initiation_timing_alone
1,0.4,1.3333333333333335,10417.0,1199.9999999999989,inferred_from_current_max_available_Gc,0.2217050830220314,0.11815389320741497,1230.8091055416417,0.881846106792585,ok,extreme_tp_correction_lt_0p3,unlikely_explained_by_initiation_timing_alone
2,0.1,0.22222222222222224,10367.0,969.9999999999993,inferred_from_current_max_available_Gc,0.1835561984817438,0.8101396103823967,8398.717340834306,0.18986038961760332,ok,plausible_tp_correction_0p6_to_1p0,possibly_explainable_by_fracture_initiation_timing_review_stage1_old_ppt_reference_0p67
2,0.15,0.35294117647058826,10367.0,969.9999999999993,inferred_from_current_max_available_Gc,0.1835561984817438,0.4818660174759099,4995.505003172758,0.51813398252409,ok,aggressive_tp_correction_0p3_to_0p6,requires_aggressive_tp_shortening_manual_initiation_review
2,0.2,0.5,10367.0,969.9999999999993,inferred_from_current_max_available_Gc,0.1835561984817438,0.3221423594931631,3339.649840865622,0.6778576405068368,ok,aggressive_tp_correction_0p3_to_0p6,requires_aggressive_tp_shortening_manual_initiation_review
2,0.3,0.8571428571428572,10367.0,969.9999999999993,inferred_from_current_max_available_Gc,0.1835561984817438,0.1683622353041293,1745.4112933979086,0.8316377646958707,ok,extreme_tp_correction_lt_0p3,unlikely_explained_by_initiation_timing_alone
2,0.4,1.3333333333333335,10367.0,969.9999999999993,inferred_from_current_max_available_Gc,0.1835561984817438,0.09596836374838372,994.904026979494,0.9040316362516163,ok,extreme_tp_correction_lt_0p3,unlikely_explained_by_initiation_timing_alone
